id,lon,lat,type
409118179,-8.588293868947545,41.16738862489246,exit
10926721730,-8.594685530839314,41.17305972349119,exit
3522106298,-8.596795394662081,41.1714489425938,entry
1838975439,-8.63687015054446,41.127861938069366,entry_exit
3540014383,-8.64536252160889,41.157012763526595,exit
293247477,-8.592732736438515,41.13042982265505,exit
7681340186,-8.64107311750361,41.149209831319446,exit
26122714,-8.594798141348338,41.173415843138066,entry
cluster_11057486320_130075590_1352647022_3092747282_#3more,-8.587563681699642,41.16844264446503,exit
126543210,-8.649069270515067,41.1601342969572,exit
1110673663,-8.622483100539185,41.171938295831005,entry
4477604314,-8.640585559046034,41.168588769450096,exit
1216830874,-8.581352077646631,41.16249633871618,entry
1112072539,-8.573864169202077,41.124848223282875,exit
1131292188,-8.6030561361333,41.12647062395573,entry
5064945165,-8.641551245288097,41.15148421345824,entry
1110673670,-8.626668657989981,41.17280670207917,exit
299612553,-8.588094633115283,41.166862569198905,exit
13713756-AddedOnRampNode,-8.647497129776813,41.158441944147526,entry
1110673581,-8.617403248750712,41.122535459170415,entry
1528823334,-8.59087633903581,41.13008121101514,entry
114310705,-8.581507465736843,41.14801759380601,entry
4966894473,-8.582378734012678,41.15472007254192,entry
114310699,-8.5808614235701,41.14919952318455,exit
126580298,-8.648289954895052,41.16442142127102,exit
3740426554,-8.641420369567031,41.14210361133008,entry
11406499435,-8.622376034375286,41.121029510631836,exit
54375651#0-AddedOffRampNode,-8.63557535417772,41.127375200134345,exit
1112072744,-8.573707525185895,41.124883495638066,entry
114310686,-8.574968619765007,41.15207156085039,entry
25503943,-8.640321444366514,41.16827446831611,entry
126581609,-8.64890681668047,41.16433205255005,entry
674925851,-8.623557922638527,41.11932653813608,entry
414134066,-8.582562741610744,41.15350052059098,entry
1528823366,-8.596524412510846,41.12759555377658,exit
314553196,-8.643799231042266,41.16756391900032,entry
cluster_1838975438_1838975441,-8.634618535371768,41.1278799512137,entry
1131292314,-8.602805934422236,41.12706753318935,exit
26016966,-8.607432795758951,41.11029603897533,exit
25504178,-8.624506922384485,41.17337068841849,entry
126411674,-8.648075237352405,41.159637988055586,entry
1112073130,-8.59331192860169,41.12999579130943,entry
114311905,-8.578727945018828,41.15045483825309,exit
1147305942,-8.623819583020724,41.118895998458555,exit
787318152,-8.581678781892089,41.15389402461614,exit
685192577,-8.621365133514809,41.12358474072279,entry
4526609655,-8.61667512076694,41.17420821094921,entry
409114746,-8.583114238882336,41.165756941699634,exit
1110673494,-8.61668005353376,41.12259530061647,exit
413301102,-8.580306348918132,41.163956144976424,exit
128571479,-8.610732567081483,41.17447239079093,exit
3389567594,-8.620329544856709,41.121191144476484,entry
26016528,-8.609723579431849,41.11146756983714,entry
1131291973,-8.604935801746976,41.126330164440155,exit
13798158-AddedOffRampNode,-8.60194420142568,41.17158692739704,exit
3740426506,-8.639746077886683,41.14360173108051,exit
114315563,-8.58123313687846,41.1475865561465,entry
1731168876,-8.581891481613905,41.16483441967288,entry
11406498463,-8.625439149326255,41.119496615710084,entry
11397036625,-8.604290984639036,41.12634326502618,entry
10915393568,-8.595600047671146,41.128178914164046,entry
4468021928,-8.642656390948643,41.167478406762356,exit
444023236,-8.587781470329295,41.16838613358095,exit
1145514054,-8.638929248336467,41.14300969083607,exit
25504157,-8.623255184049112,41.17317734404137,entry
10858341660,-8.617653241587217,41.17372692500038,exit
4722746644,-8.64413072431562,41.16573867102433,exit
128578702,-8.606599535142692,41.1718961302705,exit
114315556,-8.579662645976912,41.14638502741042,entry
13860802-AddedOnRampNode,-8.58893753955521,41.16861564390552,entry
1147306656,-8.625336677592415,41.119690315375045,exit
cluster_1334148416_1352663656,-8.58837894918773,41.166422376381334,entry
112597525,-8.597003144331833,41.171280140225825,exit
414134141,-8.582335404950294,41.15369769160719,exit
1103406407,-8.607972087467337,41.12481106598387,exit
128579825,-8.606943589438686,41.17285295723918,entry
1528823383,-8.595467242990143,41.127107125486596,entry
1103406328,-8.60826288323899,41.12511103114734,entry
11364765792,-8.639261780409466,41.143888200930604,entry
1112073594,-8.590506804023608,41.12967381725967,exit
128577516,-8.611227950389194,41.17418490915682,entry
4449523990,-8.626397688006342,41.111179369288685,entry
3092764701,-8.603427920988446,41.171331265569684,entry
114315578,-8.579834130552564,41.14950214182383,exit
4449522588,-8.626547446701807,41.110961229717226,exit
25504183,-8.622444253084327,41.17492547185139,exit
3139458260,-8.623259838088108,41.17348867370198,exit
cluster_111460002_4649085930,-8.640562555686051,41.15065474074438,exit
7681314481,-8.641118897957421,41.14929392833933,entry
1112073113,-8.594590138553569,41.129128141497446,exit
1243857999,-8.642553556002602,41.167668515798866,entry
